89,Guam,GUM
90,Guatemala,GTM
91,Guernsey,GGY
92,Guinea,GIN
93,Guinea-Bissau,GNB
94,Guyana,GUY
95,Haiti,HTI
96,Heard Island and McDonald Islands,HMD
97,Holy See (Vatican City State),VAT
98,Honduras,HND
99,Hong Kong,HKG
100,Hungary,HUN
101,Iceland,ISL
102,India,IND
103,Indonesia,IDN
104,Iran, Islamic Republic of
105,Iraq,IRQ
106,Ireland,IRL
107,Isle of Man,IMN
108,Israel,ISR
109,Italy,ITA
110,Jamaica,JAM
111,Japan,JPN
112,Jersey,JEY
113,Jordan,JOR
114,Kazakhstan,KAZ
115,Kenya,KEN
116,Kiribati,KIR
117,Korea, Democratic People's Republic of
119,Kuwait,KWT
120,Kyrgyzstan,KGZ
121,Lao People's Democratic Republic,LAO
122,Latvia,LVA
123,Lebanon,LBN
124,Lesotho,LSO
125,Liberia,LBR
126,Libya,LBY
127,Liechtenstein,LIE
128,Lithuania,LTU
129,Luxembourg,LUX
130,Macao,MAC
131,Macedonia, the Former Yugoslav Republic of
132,Madagascar,MDG
133,Malawi,MWI
134,Malaysia,MYS
135,Maldives,MDV
136,Mali,MLI
137,Malta,MLT
138,Marshall Islands,MHL
139,Martinique,MTQ
140,Mauritania,MRT
141,Mauritius,MUS
142,Mayotte,MYT
143,Mexico,MEX
144,Micronesia, Federated States of
145,Moldova, Republic of
146,Monaco,MCO
147,Mongolia,MNG
148,Montenegro,MNE
149,Montserrat,MSR
150,Morocco,MAR
151,Mozambique,MOZ
152,Myanmar,MMR
153,Namibia,NAM
154,Nauru,NRU
155,Nepal,NPL
156,Netherlands,NLD
157,New Caledonia,NCL
158,New Zealand,NZL
159,Nicaragua,NIC
160,Niger,NER
161,Nigeria,NGA
162,Niue,NIU
163,Norfolk Island,NFK
164,Northern Mariana Islands,MNP
165,Norway,NOR
166,Oman,OMN
167,Pakistan,PAK
168,Palau,PLW
169,Palestine, State of
170,Panama,PAN
171,Papua New Guinea,PNG
172,Paraguay,PRY
173,Peru,PER
174,Philippines,PHL
175,Pitcairn,PCN
176,Poland,POL
177,Portugal,PRT
178,Puerto Rico,PRI
179,Qatar,QAT
180,Romania,ROU
181,Russian Federation,RUS
182,Rwanda,RWA
183,Reunion,REU
184,Saint Barthelemy,BLM
185,Saint Helena,SHN
186,Saint Kitts and Nevis,KNA
187,Saint Lucia,LCA
188,Saint Martin (French part),MAF
189,Saint Pierre and Miquelon,SPM
190,Saint Vincent and the Grenadines,VCT
191,Samoa,WSM
192,San Marino,SMR
193,Sao Tome and Principe,STP
194,Saudi Arabia,SAU
195,Senegal,SEN
196,Serbia,SRB
197,Seychelles,SYC
198,Sierra Leone,SLE
199,Singapore,SGP
200,Sint Maarten (Dutch part),SXM
201,Slovakia,SVK
202,Slovenia,SLO
203,Solomon Islands,SLB
204,Somalia,SOM
205,South Africa,ZAF
206,South Georgia and the South Sandwich Islands,SGS
207,South Sudan,SSD
208,name,shortName
209,Spain,ESP
210,Sri Lanka,LKA
211,Sudan,SDN
212,Suriname,SUR
213,Svalbard and Jan Mayen,SJM
214,Swaziland,SWZ
215,Sweden,SWE
216,Switzerland,CHE
217,Syrian Arab Republic,SYR
218,Taiwan,TWN
219,Tajikistan,TJK
220,United Republic of Tanzania,TZA
221,Thailand,THA
222,Timor-Leste,TLS
223,Togo,TGO
224,Tokelau,TKL
225,Tonga,TON
226,Trinidad and Tobago,TTO
227,Tunisia,TUN
228,Turkey,TUR
229,Turkmenistan,TKM
230,Turks and Caicos Islands,TCA
231,Tuvalu,TUV
232,Uganda,UGA
233,Ukraine,UKR
234,United Arab Emirates,ARE
235,United Kingdom,GBR
236,United States,USA
237,United States Minor Outlying Islands,UMI
238,Uruguay,URY
239,Uzbekistan,UZB
240,Vanuatu,VUT
241,Venezuela,VEN
242,Viet Nam,VNM
243,British Virgin Islands,VGB
244,US Virgin Islands,VIR
245,Wallis and Futuna,WLF
246,Western Sahara,ESH
247,Yemen,YEM
248,Zambia,ZMB
249,Zimbabwe,ZWE
